0	0.000000
1	0.174300
2	0.371172
3	0.592160
4	0.838589
5	1.111520
6	1.411701
7	1.739549
8	2.095145
9	2.478254
10	2.888355
11	3.324692
12	3.786326
13	4.272187
14	4.781126
15	5.311964
16	5.863515
17	6.434627
18	7.024186
19	7.631136
20	8.254482
21	8.893291
22	9.546692
23	10.213874
24	10.894077
25	11.586601
26	12.290781
27	13.006006
28	13.731705
29	14.467337
30	15.212403
31	15.966433
32	16.728981
33	17.499636
34	18.278006
35	19.063728
36	19.856461
37	20.655870
38	21.461655
39	22.273529
40	23.091223
41	23.914473
42	24.743038
43	25.576694
44	26.415224
45	27.258419
46	28.106085
47	28.958040
48	29.814116
49	30.674133
50	31.537951
51	32.405407
52	33.276371
53	34.150700
54	35.028271
55	35.908962
56	36.792656
57	37.679245
58	38.568626
59	39.460693
60	40.355350
61	41.252518
62	42.152096
63	43.054012
64	43.958179
65	44.864521
66	45.772972
67	46.683464
68	47.595921
69	48.510284
70	49.426491
71	50.344486
72	51.264214
73	52.185612
74	53.108650
75	54.033253
76	54.959389
77	55.887012
78	56.816071
79	57.746529
80	58.678341
81	59.611469
82	60.545887
83	61.481541
84	62.418411
85	63.356449
86	64.295647
87	65.235939
88	66.177322
89	67.119766
90	68.063225
91	69.007683
92	69.953117
93	70.899498
94	71.846794
95	72.795006
96	73.744080
97	74.694023
98	75.644791
99	76.596375
100	77.548752
101	78.501900
102	79.455795
103	80.410446
104	81.365807
105	82.321877
106	83.278625
107	84.236053
108	85.194138
109	86.152855
110	87.112206
111	88.072159
112	89.032722
113	89.993866
114	90.955589
115	91.917870
116	92.880669
117	93.844048
118	94.807922
119	95.772316
120	96.737213
121	97.702606
122	98.668480
123	99.634819
124	100.601639
125	101.568886
126	102.536591
127	103.504738
128	104.473289
129	105.442276
130	106.411667
131	107.381454
132	108.351646
133	109.322212
134	110.293159
135	111.264481
136	112.236168
137	113.208206
138	114.180603
139	115.153343
140	116.126404
141	117.099815
142	118.073563
143	119.047592
144	120.021965
145	120.996635
146	121.971611
147	122.946869
148	123.922440
149	124.898293
150	125.874428
151	126.850830
152	127.827522
153	128.804459
154	129.781677
155	130.759171
156	131.736893
157	132.714859
158	133.693069
159	134.671539
160	135.650238
161	136.629181
162	137.608337
163	138.587723
164	139.567352
165	140.547165
166	141.527222
167	142.507477
168	143.487946
169	144.468613
170	145.449493
171	146.430573
172	147.411850
173	148.393311
174	149.374969
175	150.356796
176	151.338821
177	152.321030
178	153.303421
179	154.285995
180	155.268723
181	156.251617
182	157.234680
183	158.217941
184	159.201324
185	160.184891
186	161.168610
187	162.152481
188	163.136536
189	164.120712
190	165.105057
191	166.089523
192	167.074158
193	168.058929
194	169.043854
195	170.028900
196	171.014099
197	171.999420
198	172.984894
199	173.970474
200	174.956207
201	175.942062
202	176.928024
203	177.914139
204	178.900375
205	179.886734
206	180.873184
207	181.859772
208	182.846497
209	183.833313
210	184.820267
211	185.807297
212	186.794449
213	187.781723
214	188.769104
215	189.756592
216	190.744186
217	191.731903
218	192.719666
219	193.707565
220	194.695572
221	195.683685
222	196.671875
223	197.660156
224	198.648560
225	199.637054
226	200.625626
227	201.614304
228	202.603043
229	203.591904
230	204.580856
231	205.569870
232	206.558990
233	207.548172
234	208.537491
235	209.526855
236	210.516296
237	211.505829
238	212.495453
239	213.485153
240	214.474915
241	215.464798
242	216.454712
243	217.444733
244	218.434799
245	219.424942
246	220.415161
247	221.405487
248	222.395844
249	223.386292
250	224.376816
251	225.367401
252	226.358063
253	227.348801
254	228.339554
255	229.330414
256	230.321335
257	231.312332
258	232.303391
259	233.294510
260	234.285690
261	235.276932
262	236.268265
263	237.259613
264	238.251053
265	239.242554
266	240.234085
267	241.225723
268	242.217392
269	243.209076
270	244.200897
