#Q.3.a:Workload#2 throughput as a function of k for the population vector(20, k),k=0,1,2,3,...,15
#k	Xo,w2
449	2.129377
450	2.129571
451	2.129764
452	2.129956
453	2.130147
454	2.130337
455	2.130527
456	2.130716
457	2.130904
458	2.131092
459	2.131278
460	2.131464
461	2.131649
462	2.131833
463	2.132017
464	2.132200
465	2.132382
466	2.132563
467	2.132744
468	2.132924
469	2.133103
470	2.133281
471	2.133459
472	2.133636
473	2.133813
474	2.133988
475	2.134163
476	2.134337
477	2.134511
478	2.134684
479	2.134856
480	2.135028
481	2.135198
482	2.135369
483	2.135538
484	2.135707
485	2.135875
486	2.136043
487	2.136209
488	2.136376
489	2.136542
490	2.136707
491	2.136871
492	2.137035
493	2.137197
494	2.137360
495	2.137522
496	2.137683
497	2.137844
498	2.138004
499	2.138163
500	2.138322
